OS;Numerator;Scene;Accel;Integrator;Seconds;Time
1;1;3;0;2;742;00:12:22
1;2;1;2;2;1423;00:23:43
1;3;2;0;0;382;00:06:22
1;4;4;1;2;19;00:00:19
1;5;1;1;0;1190;00:19:50
1;6;2;1;0;382;00:06:22
1;7;2;2;0;473;00:07:53
1;8;3;2;2;869;00:14:29
1;9;4;2;1;2;00:00:02
1;10;1;0;2;1268;00:21:08
1;11;1;2;0;1357;00:22:37
1;12;1;2;1;392;00:06:32
1;13;1;1;1;337;00:05:37
1;14;3;2;0;648;00:10:48
1;15;3;2;1;649;00:10:49
1;16;1;0;0;1192;00:19:52
1;17;1;1;2;1265;00:21:05
1;18;4;0;1;10;00:00:10
1;19;2;0;2;142;00:02:22
1;20;4;1;1;9;00:00:09
1;21;2;2;2;186;00:03:06
1;22;4;1;0;306;00:05:06
1;23;2;1;2;141;00:02:21
1;24;3;1;1;510;00:08:30
1;25;3;0;1;507;00:08:27
1;26;3;0;0;507;00:08:27
1;27;3;1;2;755;00:12:35
1;28;2;1;1;87;00:01:27
1;29;1;0;1;337;00:05:37
1;30;4;0;2;18;00:00:18
1;31;2;2;1;1;00:00:01
1;32;2;0;1;86;00:01:26
1;33;4;2;2;23;00:00:23
1;34;4;0;0;306;00:05:06
1;35;4;2;0;358;00:05:58
1;36;3;1;0;501;00:08:21
2;1;3;1;0;277;00:04:37
2;2;1;1;1;143;00:02:23
2;3;3;0;2;404;00:06:44
2;4;3;1;2;399;00:06:39
2;5;4;2;0;196;00:03:16
2;6;2;1;0;310;00:05:10
2;7;4;2;1;5;00:00:05
2;8;2;1;1;54;00:00:54
2;9;1;0;1;142;00:02:22
2;10;2;0;0;310;00:05:10
2;11;4;0;2;8;00:00:08
2;12;4;1;1;4;00:00:04
2;13;2;0;2;86;00:01:26
2;14;4;1;2;9;00:00:09
2;15;4;0;1;4;00:00:04
2;16;3;2;1;378;00:06:18
2;17;4;2;2;12;00:00:12
2;18;1;2;2;835;00:13:55
2;19;4;0;0;159;00:02:39
2;20;4;1;0;159;00:02:39
2;21;2;2;2;120;00:02:00
2;22;1;2;0;810;00:13:30
2;23;2;2;0;373;00:06:13
2;24;3;0;0;275;00:04:35
2;25;2;0;1;54;00:00:54
2;26;3;0;1;275;00:04:35
2;27;2;1;2;86;00:01:26
2;28;1;1;2;749;00:12:29
2;29;1;1;0;721;00:12:01
2;30;3;2;0;379;00:06:19
2;31;2;2;1;82;00:01:22
2;32;3;2;2;476;00:07:56
2;33;3;1;1;276;00:04:36
2;34;1;0;2;753;00:12:33
2;35;1;0;0;721;00:12:01
2;36;1;2;1;174;00:02:54
3;1;1;1;0;2332;00:38:52
3;2;4;0;1;13;00:00:13
3;3;4;2;0;588;00:09:48
3;4;3;2;2;1366;00:22:46
3;5;1;0;1;502;00:08:22
